feature,layer,metric,roc_auc,average_precision,n_samples,analysis_type,feature_set,n_features,accuracy,balanced_accuracy,bucket,positive_rate
l2_L24,24,l2_distance,0.4834634974533107,0.6109441453280857,250,,,,,,,
relative_norm_L24,24,relative_norm_difference,0.48305602716468593,0.6168775793105552,250,,,,,,,
cosine_L25,25,cosine_distance,0.4861799660441426,0.6127470477048473,250,,,,,,,
l2_L25,25,l2_distance,0.48380305602716467,0.6133607159589239,250,,,,,,,
relative_norm_L25,25,relative_norm_difference,0.47816638370118847,0.6243814711290222,250,,,,,,,
cosine_L26,26,cosine_distance,0.5041086587436333,0.6278737574703512,250,,,,,,,
l2_L26,26,l2_distance,0.48516129032258065,0.615468482488523,250,,,,,,,
relative_norm_L26,26,relative_norm_difference,0.5370458404074703,0.6177837388849855,250,,,,,,,
cosine_L27,27,cosine_distance,0.5111714770797963,0.6307155787735395,250,,,,,,,
l2_L27,27,l2_distance,0.479660441426146,0.6140749893480617,250,,,,,,,
relative_norm_L27,27,relative_norm_difference,0.45473684210526316,0.6033583036740537,250,,,,,,,
,,,0.8073344651952462,0.8598454305537073,,logistic_regression_cv,length_covariates_only,5,0.768,0.7415959252971137,,
,,,0.7022750424448218,0.7540881003863519,,logistic_regression_cv,divergence_only,84,0.696,0.6713073005093378,,
,,,0.8017657045840407,0.8390888031216441,,logistic_regression_cv,divergence_plus_length,89,0.756,0.733955857385399,,
l2_L10,,,0.5033444816053512,0.543647581518452,85,prompt_length_stratified_auc,,,,,short_prompt,0.4588235294117647
l2_L10,,,0.5828877005347594,0.7219193525027089,84,prompt_length_stratified_auc,,,,,medium_prompt,0.6071428571428571
l2_L10,,,0.7326923076923076,0.9077806929351412,81,prompt_length_stratified_auc,,,,,long_prompt,0.8024691358024691
