permutation_index,max_single_feature_auc
0,0.5917147707979626
1,0.5805772495755518
2,0.586213921901528
3,0.591918505942275
4,0.5944991511035653
5,0.5592529711375213
6,0.6006451612903225
7,0.5428183361629881
8,0.5521901528013582
9,0.5506960950764007
10,0.593616298811545
11,0.5590492359932089
12,0.5712733446519525
13,0.5492020373514431
14,0.6249915110356536
15,0.5630899830220714
16,0.5517826825127334
17,0.5873005093378608
18,0.529100169779287
19,0.5568760611205433
20,0.5688964346349745
21,0.6104584040747029
22,0.5696434634974533
23,0.5614261460101868
24,0.5589473684210526
25,0.6050933786078099
26,0.5551103565365025
27,0.5671986417657046
28,0.5513752122241087
29,0.6358573853989813
30,0.5796264855687606
31,0.599320882852292
32,0.5803056027164686
33,0.5557215619694398
34,0.5610186757215619
35,0.5629202037351443
36,0.5507640067911714
37,0.5931409168081494
38,0.5784040747028862
39,0.6014940577249576
40,0.5698471986417657
41,0.5644142614601019
42,0.5506281833616299
43,0.5492020373514431
44,0.5720203735144312
45,0.5936842105263158
46,0.5887266553480476
47,0.5524957555178268
48,0.5738539898132428
49,0.5454668930390493
50,0.581528013582343
51,0.5994567062818336
52,0.5877079796264856
53,0.5551782682512734
54,0.5971477079796265
55,0.5809168081494058
56,0.6065195246179966
57,0.6042784380305602
58,0.5322241086587436
59,0.5593887945670628
60,0.5703225806451613
61,0.578132427843803
62,0.559660441426146
63,0.5773174872665535
64,0.5771137521222411
65,0.58893039049236
66,0.5794227504244482
67,0.5431239388794568
68,0.6042444821731748
69,0.5514431239388795
70,0.5540916808149405
71,0.5776570458404074
72,0.5423429541595925
73,0.5462818336162988
74,0.572427843803056
75,0.6005432937181664
76,0.5693039049235993
77,0.590220713073005
78,0.5597962648556876
79,0.5913073005093379
80,0.5765025466893039
81,0.6033276740237691
82,0.5829541595925297
83,0.5731748726655348
84,0.5612903225806452
85,0.5574193548387096
86,0.5506621392190153
87,0.5627164685908319
88,0.5632597623089983
89,0.5880475382003395
90,0.5923259762308998
91,0.6065874363327673
92,0.6156196943972835
93,0.5517826825127334
94,0.598641765704584
95,0.573786078098472
96,0.5811205432937182
97,0.5557215619694398
98,0.5703225806451613
99,0.5623089983022072
100,0.5537521222410866
101,0.6209168081494058
102,0.6401358234295416
103,0.5835653650254669
104,0.5646859083191851
105,0.5496774193548387
106,0.5514770797962648
107,0.5669269949066214
108,0.5857385398981324
109,0.5675382003395586
110,0.5573514431239389
111,0.5536842105263158
112,0.5611544991511036
113,0.6160950764006791
114,0.5874363327674024
115,0.5437011884550085
116,0.5820033955857385
117,0.5881154499151103
118,0.5686247877758913
119,0.5777249575551783
120,0.5785398981324279
121,0.5623089983022072
122,0.6106621392190152
123,0.5924617996604414
124,0.613106960950764
125,0.5580984719864177
126,0.5835653650254669
127,0.5671307300509338
128,0.5624448217317487
129,0.5796264855687606
130,0.5371816638370119
131,0.579151103565365
132,0.5885229202037351
133,0.5699830220713074
134,0.5720882852292021
135,0.6042784380305602
136,0.5778607809847198
137,0.587911714770798
138,0.5938200339558574
139,0.5695755517826825
140,0.6162308998302207
141,0.5609507640067912
142,0.5779966044142615
143,0.5851273344651953
144,0.5759592529711375
145,0.624176570458404
146,0.5733786078098472
147,0.560679117147708
148,0.566383701188455
149,0.5883870967741935
150,0.5451952461799661
151,0.591918505942275
152,0.5713412563667233
153,0.5735823429541596
154,0.6118166383701188
155,0.5528692699490663
156,0.5873005093378608
157,0.5428183361629881
158,0.5838370118845501
159,0.5638030560271647
160,0.5820033955857385
161,0.5647538200339559
162,0.5667911714770798
163,0.5530050933786078
164,0.5523938879456707
165,0.5812563667232598
166,0.54723259762309
167,0.5930050933786079
168,0.5706621392190153
169,0.5611544991511036
170,0.5922580645161291
171,0.5674023769100169
172,0.5901528013582343
173,0.6027843803056027
174,0.5930050933786079
175,0.5679796264855688
176,0.5938879456706282
177,0.5570797962648557
178,0.5724957555178268
179,0.5997283531409168
180,0.5419694397283531
181,0.592597623089983
182,0.5832937181663838
183,0.5874363327674024
184,0.5830899830220713
185,0.6299490662139219
186,0.6226146010186757
187,0.5902886247877759
188,0.5657045840407471
189,0.6104584040747029
190,0.6042105263157894
191,0.5506281833616299
192,0.5841765704584041
193,0.5497453310696095
194,0.5914431239388794
195,0.5524617996604414
196,0.5895415959252971
197,0.5591171477079796
198,0.5856027164685909
199,0.5341935483870968
