group,metric,n_scored,fraction_lt_0,n,mean,median,std,q25,q75,ci_low,ci_high,skip_counts
all,clean_model_clean_rationale_clean_minus_swap_margin_norm,155,0.08387096774193549,155,3.1038117713516282,3.5161255088945227,1.9971698146960875,1.9185933619737625,4.479005981391916,2.796027024133334,3.423937174616265,
all,clean_model_swap_rationale_clean_minus_swap_margin_norm,155,0.8387096774193549,155,-2.080097205152009,-2.6810991135425866,2.1169017013795126,-3.7524450009999173,-0.2710578183333079,-2.3938028542674568,-1.7470799115842597,
all,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,155,0.07741935483870968,155,2.617092850462235,2.995761513710022,1.6309686344072003,1.6786269325311438,3.779896657234834,2.3518464917809423,2.864104870268451,
all,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,155,0.8258064516129032,155,-1.8758751935602702,-2.372902885079384,1.8321472366746503,-3.2820726009085774,-0.4738443692525227,-2.156279845930568,-1.5771370613923108,
all,clean_model_rationale_effect_norm,155,0.9548387096774194,155,-5.183908976503637,-5.433676373834412,2.91940837965051,-7.165058017669556,-3.565399551919351,-5.615136911370407,-4.7204854909770395,
all,direct_swap_model_rationale_effect_norm,155,0.9483870967741935,155,-4.492968044022506,-4.78559941239655,2.5078703554934156,-6.148101597093046,-3.139957114122808,-4.895705946250341,-4.112038687885829,
all,model_effect_clean_rationale_norm,155,0.8451612903225807,155,-0.4867189208893933,-0.5340112907191119,0.43462448388535646,-0.7528446899959818,-0.22288170688164755,-0.5521541831337418,-0.4182869522890176,
all,model_effect_swap_rationale_norm,155,0.25806451612903225,155,0.2042220115917383,0.2558137297630312,0.3856082966560231,-0.013442175669802658,0.4720500067608162,0.1419209031518713,0.26260498536030785,
all,clean_model_rationale_effect_raw,155,0.9612903225806452,155,-16.91174006485981,-17.436563730239868,9.856169879322364,-24.135888787917793,-11.027824975550175,-18.436042868104206,-15.422337348747721,
all,direct_swap_model_rationale_effect_raw,155,0.9548387096774194,155,-14.774246521567505,-15.194260322488844,8.587287369050582,-20.70225297054276,-9.638046852312982,-16.180556777642003,-13.399741624097656,
