experiment_id,width,b,t,layers,clean_acc,condition_acc,accuracy_delta,accuracy_delta_ci_low,accuracy_delta_ci_high,answer_changed_count,answer_changed_rate,answer_changed_rate_ci_low,answer_changed_rate_ci_high,stable_wrong_different,stable_wrong_different_rate,stable_wrong_different_rate_ci_low,stable_wrong_different_rate_ci_high,repaired,broken,net_repair_minus_break,transition_profile_label,notes
phaseA_fixed_b8_w2,2,8,10,8..9,0.524,0.54,0.016,-0.032,0.06,91,0.364,0.304,0.424,55,0.5555555555555556,0.4563106796116505,0.652542372881356,20,16,4,needs_manual_review,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_b8_w4,4,8,12,8..11,0.524,0.492,-0.032,-0.088,0.024,118,0.472,0.408,0.536,68,0.6938775510204082,0.6,0.78125,21,29,-8,break_heavy,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_b8_w6,6,8,14,8..13,0.524,0.504,-0.02,-0.076,0.036,116,0.464,0.4,0.524,63,0.6631578947368421,0.5681818181818182,0.7570093457943925,24,29,-5,break_heavy,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_b8_w8,8,8,16,8..15,0.524,0.516,-0.008,-0.068,0.052,124,0.496,0.432,0.556,66,0.7252747252747253,0.6333333333333333,0.8152173913043478,28,30,-2,high_churn_low_net_change,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored. Use output_text only; cached parser/correct fields are ignored.
phaseA_fixed_b8_w12_budget512,12,8,20,8..19,0.524,0.524,0.0,-0.064,0.06,135,0.54,0.476,0.6,71,0.8160919540229885,0.7323943661971831,0.8941176470588236,32,32,0,high_churn_low_net_change,Recomputed from existing JSONL using output_text only; cached parser/correct fields ignored.
