layer,metric,feature,roc_auc,average_precision,n_samples,positive_rate_answer_changed
21,relative_norm_difference,relative_norm_difference_L21,0.5165816326530612,0.6614202506893285,250,0.608
22,cosine_distance,cosine_distance_L22,0.46488990332975294,0.5887068349066705,250,0.608
22,l2_distance,l2_distance_L22,0.4662996777658432,0.5880820764407324,250,0.608
22,relative_norm_difference,relative_norm_difference_L22,0.5594790547798066,0.6775676354439222,250,0.608
23,cosine_distance,cosine_distance_L23,0.4496509129967777,0.5768483464560553,250,0.608
23,l2_distance,l2_distance_L23,0.4563641245972073,0.5797836490145248,250,0.608
23,relative_norm_difference,relative_norm_difference_L23,0.5514903329752954,0.6857156832069095,250,0.608
24,cosine_distance,cosine_distance_L24,0.47757787325456497,0.6025712127353758,250,0.608
24,l2_distance,l2_distance_L24,0.46898496240601506,0.5920100454353769,250,0.608
24,relative_norm_difference,relative_norm_difference_L24,0.4793233082706767,0.6034448451077082,250,0.608
25,cosine_distance,cosine_distance_L25,0.47106605800214824,0.5930938531074371,250,0.608
25,l2_distance,l2_distance_L25,0.4693206229860365,0.5935552809186917,250,0.608
25,relative_norm_difference,relative_norm_difference_L25,0.48314983888292157,0.6181545659140353,250,0.608
26,cosine_distance,cosine_distance_L26,0.4887889366272825,0.6078262961077163,250,0.608
26,l2_distance,l2_distance_L26,0.4711331901181525,0.5958656903477331,250,0.608
26,relative_norm_difference,relative_norm_difference_L26,0.5247046186895811,0.6004005373878252,250,0.608
27,cosine_distance,cosine_distance_L27,0.4984559613319012,0.6139526578049377,250,0.608
27,l2_distance,l2_distance_L27,0.4675751879699248,0.5965767177345538,250,0.608
27,relative_norm_difference,relative_norm_difference_L27,0.45629699248120303,0.5953999919739993,250,0.608
