language,n,clean_correct,clean_accuracy,direct_swap_correct,direct_swap_accuracy,identity_correct,identity_accuracy,accuracy_delta,parsed_answer_changed_count,parsed_answer_change_rate,stable_correct,S_broken,S_repaired,stable_wrong,stable_wrong_same,stable_wrong_different,stable_wrong_different_rate,clean_parse_failure_count,direct_swap_parse_failure_count,identity_parse_failure_count
ar,250,56,0.224,68,0.272,56,0.224,0.048,183,0.732,38,18,30,164,29,135,0.823170731707317,0,0,0
ko,250,78,0.312,80,0.32,78,0.312,0.008,178,0.712,54,24,26,146,18,128,0.8767123287671232,0,0,0
