layer,comparison,same_sample_condition,control_condition,n_sample_ids,metric,point_estimate,ci_low,ci_high,ci_level,bootstrap_method,bootstrap_unit,n_bootstrap,seed
20,same_sample_minus_shuffled,same_sample_clean_patch_L20,shuffled_clean_patch_L20,39,match_baseline_rate_difference,0.48717948717948717,0.3076923076923077,0.6153846153846154,0.95,paired_nonparametric_bca,sample_id,10000,20260517
20,same_sample_minus_random,same_sample_clean_patch_L20,random_norm_matched_patch_L20,39,match_baseline_rate_difference,0.48717948717948717,0.3076923076923077,0.6153846153846154,0.95,paired_nonparametric_bca,sample_id,10000,20260517
22,same_sample_minus_shuffled,same_sample_clean_patch_L22,shuffled_clean_patch_L22,39,match_baseline_rate_difference,0.46153846153846156,0.28205128205128205,0.5897435897435898,0.95,paired_nonparametric_bca,sample_id,10000,20260517
22,same_sample_minus_random,same_sample_clean_patch_L22,random_norm_matched_patch_L22,39,match_baseline_rate_difference,0.4358974358974359,0.2564102564102564,0.5641025641025641,0.95,paired_nonparametric_bca,sample_id,10000,20260517
